EmployeeID,Age,Gender,Department,YearsOfExperience,EducationLevel,Salary,PerformanceRating,Skills,Certification
83,22,Female,IT,14,3,127155,2,C++,Certified
84,29,Female,IT,12,4,43403,1,Machine Learning,Not Certified
85,45,Female,IT,5,3,43065,2,C++,Certified
86,32,Female,Operations,1,2,119930,3,SQL,Not Certified
87,38,Female,Finance,9,4,56801,4,SQL,Certified
88,29,Female,Sales,13,4,138182,1,SQL,Certified
89,56,Male,Sales,10,2,129132,2,Data Analysis,Certified
90,56,Female,Operations,5,4,59230,1,C++,Not Certified
91,54,Male,Sales,1,1,102706,3,SQL,Certified
92,26,Female,IT,7,3,113942,3,Java,Not Certified
93,60,Female,Finance,3,3,120214,2,Machine Learning,Not Certified
94,49,Female,Sales,4,2,59968,5,Machine Learning,Not Certified
95,28,Female,Sales,7,1,72517,1,Java,Certified
96,30,Male,Marketing,13,4,148899,1,Machine Learning,Certified
97,29,Male,Marketing,10,3,149642,3,Data Analysis,Not Certified
98,33,Female,Marketing,7,3,83239,1,Data Analysis,Not Certified
99,55,Male,Finance,11,3,62655,2,Python,Not Certified
100,54,Female,IT,13,3,122623,4,Python,Not Certified
101,44,Female,IT,11,5,92771,3,Python,Not Certified
102,45,Male,IT,5,2,75984,4,Machine Learning,Certified
103,58,Male,Finance,3,4,41049,1,Data Analysis,Certified
104,56,Female,Finance,14,4,102321,5,Data Analysis,Certified
105,61,Female,Marketing,0,2,137302,2,Data Analysis,Not Certified
106,43,Male,Sales,11,1,94813,1,Java,Not Certified
107,48,Female,Operations,6,2,34655,2,Data Analysis,Certified
108,56,Male,Operations,7,3,113994,1,Java,Certified
109,22,Female,Sales,8,3,120638,1,Python,Not Certified
110,56,Female,Marketing,1,2,102454,1,Python,Not Certified
111,58,Male,Sales,0,2,98972,3,Machine Learning,Not Certified
112,35,Male,Sales,3,4,51432,4,Python,Certified
113,24,Male,Operations,12,4,120409,5,Machine Learning,Not Certified
114,22,Female,Marketing,4,5,133176,4,SQL,Not Certified
115,26,Female,Finance,9,5,95896,4,SQL,Not Certified
116,47,Female,Operations,11,3,140213,2,C++,Certified
117,35,Female,Finance,0,5,100135,3,Machine Learning,Not Certified
118,60,Male,Marketing,4,5,72936,3,C++,Certified
119,48,Female,Sales,5,1,135035,1,C++,Not Certified
120,30,Female,IT,2,2,130381,4,SQL,Not Certified
121,36,Female,IT,11,4,43750,5,Machine Learning,Certified
122,36,Male,Marketing,14,5,57987,2,SQL,Not Certified
123,47,Female,IT,6,4,146861,3,C++,Certified
124,34,Female,Finance,13,5,132995,1,Machine Learning,Not Certified
125,53,Male,IT,5,5,56165,5,C++,Certified
126,60,Female,Marketing,3,3,80541,4,Data Analysis,Not Certified
127,53,Female,Marketing,2,1,54346,5,Machine Learning,Certified
128,25,Male,Finance,4,2,33514,3,Machine Learning,Certified
129,51,Female,IT,2,2,54838,2,C++,Not Certified
130,58,Female,IT,9,3,57559,4,Data Analysis,Certified
131,44,Female,Sales,8,3,131223,2,Java,Not Certified
132,60,Male,Operations,8,2,127501,5,SQL,Certified
133,36,Female,Marketing,5,2,89207,5,C++,Not Certified
134,50,Female,Sales,12,1,46385,1,Machine Learning,Not Certified
135,57,Male,Marketing,10,5,48317,4,SQL,Not Certified
136,34,Male,Sales,5,1,30393,5,SQL,Not Certified
137,53,Female,Operations,11,2,54881,3,SQL,Certified
138,28,Female,Sales,13,5,141761,3,Java,Not Certified
139,43,Female,Marketing,3,2,128833,2,Python,Not Certified
140,49,Female,IT,3,1,149311,3,C++,Not Certified
141,23,Male,Marketing,1,1,57955,5,Python,Not Certified
142,27,Female,Finance,9,1,88308,3,Python,Not Certified
143,49,Male,Finance,3,5,140515,4,Python,Certified
144,49,Male,Finance,7,4,88014,2,SQL,Not Certified
145,41,Female,Finance,12,4,148756,4,Data Analysis,Certified
146,51,Female,Operations,9,2,95430,5,SQL,Certified
147,32,Male,IT,1,5,102031,5,SQL,Not Certified
148,49,Male,IT,8,3,135257,3,Machine Learning,Not Certified
149,46,Female,Marketing,13,4,116973,1,Machine Learning,Certified
150,60,Male,Sales,0,5,89596,1,Python,Certified
151,54,Female,Marketing,12,5,147360,5,SQL,Certified
152,22,Female,Marketing,1,4,31713,5,Python,Not Certified
153,48,Male,Marketing,14,5,50428,2,Machine Learning,Certified
154,34,Male,Marketing,1,5,92160,5,Data Analysis,Certified
155,24,Female,IT,10,4,96171,5,C++,Not Certified
156,60,Male,Sales,12,1,149822,2,Python,Certified
157,27,Female,Marketing,14,2,110729,4,Data Analysis,Not Certified
158,29,Female,IT,13,3,90843,4,C++,Certified
159,48,Female,Marketing,5,2,53003,2,Java,Not Certified
160,30,Male,Finance,14,1,110169,2,Python,Certified
161,58,Female,Marketing,13,1,124764,4,Python,Not Certified
162,54,Female,Marketing,6,5,72077,4,Java,Not Certified
163,45,Female,Operations,12,2,56730,4,Java,Certified
164,36,Female,Finance,14,1,144082,4,Python,Not Certified
165,53,Female,Sales,14,2,102981,3,Java,Certified
166,53,Female,Marketing,2,1,140719,2,SQL,Not Certified
167,45,Female,Sales,10,3,109817,1,C++,Not Certified
168,33,Female,Finance,8,1,102138,3,C++,Not Certified
169,60,Female,Marketing,4,2,95573,1,C++,Not Certified
170,23,Female,Operations,4,5,138128,1,SQL,Not Certified
171,24,Female,IT,10,2,58869,5,Java,Not Certified
172,58,Male,Operations,11,4,132079,2,Data Analysis,Not Certified
173,38,Female,Operations,3,2,61076,3,Java,Certified
174,23,Female,IT,8,3,122166,2,Python,Certified
175,23,Female,IT,7,3,116005,4,Machine Learning,Not Certified
176,49,Male,IT,11,3,127835,2,C++,Not Certified
177,44,Female,Marketing,3,1,55094,1,Java,Not Certified
178,58,Male,Sales,3,3,56817,4,Data Analysis,Certified
179,53,Female,Sales,1,2,40555,2,Python,Not Certified
180,54,Female,IT,8,5,100656,2,SQL,Certified
181,22,Male,Operations,2,3,110214,1,SQL,Not Certified
182,40,Female,Finance,3,2,80193,4,Data Analysis,Not Certified
183,23,Male,IT,13,1,34715,1,Python,Not Certified
184,47,Male,Operations,6,1,64162,2,C++,Not Certified
185,53,Female,Operations,9,5,131173,3,Java,Not Certified
186,27,Female,Marketing,7,5,127858,3,Python,Certified
187,53,Female,Marketing,7,2,131980,5,SQL,Not Certified
188,25,Female,Sales,3,5,132025,3,Data Analysis,Certified
189,32,Male,Sales,14,5,68458,4,Data Analysis,Certified
190,38,Male,Finance,6,1,134122,5,Java,Not Certified
191,59,Female,Finance,9,2,128538,4,Data Analysis,Not Certified
192,45,Male,Finance,0,5,33140,3,Data Analysis,Not Certified
193,26,Male,Finance,5,2,104174,3,Python,Certified
194,55,Female,Operations,5,3,141201,2,C++,Certified
195,27,Male,Operations,5,1,47383,4,Java,Certified
196,43,Male,Sales,11,1,47718,1,Python,Not Certified
197,32,Female,Marketing,1,1,136629,2,C++,Certified
198,37,Male,Marketing,7,4,106160,4,Python,Certified
199,54,Female,IT,13,2,87399,5,Machine Learning,Certified
200,30,Male,Operations,14,3,117008,4,Python,Not Certified
201,27,Female,Finance,14,5,51863,5,Data Analysis,Certified
202,37,Male,Finance,4,3,101626,5,C++,Certified
203,50,Male,IT,4,2,41377,3,Java,Not Certified
204,24,Female,Marketing,1,1,113031,1,Java,Not Certified
205,41,Female,Finance,3,4,90523,4,C++,Not Certified
206,57,Female,Marketing,11,2,44870,1,Data Analysis,Certified
207,40,Female,IT,8,2,87487,5,SQL,Certified
208,47,Male,Marketing,8,5,49300,3,Python,Certified
209,24,Male,Marketing,5,3,85951,1,Data Analysis,Not Certified
210,40,Male,Marketing,10,3,97639,2,Machine Learning,Certified
211,41,Female,Finance,14,5,120731,5,C++,Not Certified
212,53,Male,Sales,8,4,133429,2,Python,Not Certified
213,28,Male,Operations,3,1,102126,1,Java,Certified
214,54,Female,Marketing,14,1,72980,1,SQL,Certified
215,61,Female,Marketing,10,4,137904,1,Machine Learning,Certified
216,60,Male,Marketing,0,5,62050,4,Java,Not Certified
217,39,Female,Sales,1,2,32921,5,C++,Not Certified
218,61,Male,IT,12,3,100270,5,Python,Certified
219,22,Male,Finance,0,2,115293,5,C++,Not Certified
220,32,Female,Sales,7,3,60328,4,Python,Certified
221,49,Male,Marketing,8,2,90820,1,Data Analysis,Certified
222,46,Female,Sales,9,5,53138,1,SQL,Certified
223,44,Female,Sales,11,5,111573,2,Data Analysis,Not Certified
224,52,Male,Sales,5,4,129140,4,Data Analysis,Not Certified
225,51,Male,IT,1,2,42094,3,C++,Certified
226,56,Male,Operations,5,2,95264,4,SQL,Certified
227,28,Female,Finance,8,4,39028,2,Python,Not Certified
228,37,Male,IT,11,4,139053,2,Python,Certified
229,47,Female,IT,2,5,45432,2,Machine Learning,Not Certified
230,23,Female,Operations,8,5,73819,1,Java,Certified
231,22,Male,IT,1,2,118627,3,Machine Learning,Not Certified
232,33,Female,Sales,10,5,111122,2,Machine Learning,Certified
233,26,Male,Sales,4,5,35312,5,Python,Not Certified
234,58,Male,Marketing,10,2,55973,1,C++,Certified
235,53,Male,IT,1,4,132126,3,Data Analysis,Not Certified
236,30,Male,Marketing,6,2,85305,5,Data Analysis,Not Certified
237,56,Male,Finance,10,1,58973,3,Data Analysis,Not Certified
238,40,Male,Sales,9,2,74390,3,SQL,Not Certified
239,37,Male,Finance,14,1,46099,5,Python,Certified
240,24,Female,Operations,8,2,79956,4,C++,Not Certified
241,41,Male,Sales,6,1,129379,3,SQL,Not Certified
242,45,Female,Finance,11,1,44063,4,Java,Certified
243,54,Female,Operations,4,2,124306,3,C++,Not Certified
244,45,Female,Finance,14,5,122752,5,Machine Learning,Certified
245,32,Male,Operations,3,3,123196,3,C++,Not Certified
246,29,Female,Operations,11,5,111919,2,C++,Not Certified
247,57,Female,Sales,3,1,39605,2,Data Analysis,Not Certified
248,59,Male,Marketing,14,2,126185,3,C++,Not Certified
249,61,Male,Operations,9,2,132756,5,Machine Learning,Not Certified
250,41,Female,Operations,7,2,146351,5,Machine Learning,Not Certified
251,56,Male,Sales,9,2,128095,1,Python,Certified
252,46,Male,Marketing,12,3,140602,5,C++,Certified
253,56,Male,IT,9,4,107904,4,Data Analysis,Not Certified
254,46,Male,IT,13,1,102964,3,C++,Not Certified
255,50,Female,Marketing,9,3,81205,2,Java,Certified
256,39,Male,Finance,9,5,45817,5,Java,Certified
257,39,Male,Sales,9,4,32420,2,Data Analysis,Not Certified
258,23,Male,Marketing,0,4,114448,1,Python,Not Certified
259,56,Female,IT,4,2,99853,3,Python,Not Certified
260,37,Female,Operations,13,3,119897,5,Machine Learning,Not Certified
261,57,Male,IT,1,5,57728,2,Machine Learning,Not Certified
262,54,Male,Operations,12,2,87858,5,SQL,Not Certified
263,25,Female,Sales,10,2,136716,1,Data Analysis,Certified
264,54,Male,Operations,8,1,79089,2,C++,Not Certified
265,35,Male,Marketing,6,4,126604,2,Data Analysis,Not Certified
266,42,Female,Operations,9,5,128531,3,SQL,Certified
267,41,Male,Finance,7,4,114257,3,Machine Learning,Certified
268,29,Male,Marketing,5,3,58964,2,Data Analysis,Certified
269,28,Female,Sales,8,1,127065,3,Data Analysis,Certified
270,24,Female,Marketing,5,2,106992,2,Machine Learning,Not Certified
271,38,Male,Finance,6,1,129259,4,SQL,Certified
272,54,Female,Sales,6,2,146185,5,Machine Learning,Certified
273,33,Male,IT,8,1,72240,4,Python,Not Certified
274,43,Male,Finance,10,2,130282,4,C++,Certified
275,43,Male,Sales,7,4,113449,5,Machine Learning,Certified
276,51,Female,Operations,12,4,42675,2,SQL,Not Certified
277,59,Female,Marketing,0,4,147350,2,Java,Not Certified
278,59,Male,Sales,3,4,127677,3,Python,Not Certified
279,29,Male,Marketing,6,1,122525,1,Java,Not Certified
280,48,Female,Operations,10,2,90049,2,Machine Learning,Not Certified
281,48,Female,Sales,7,4,111664,5,Python,Not Certified
282,55,Female,IT,6,1,78436,1,C++,Not Certified
283,42,Male,Finance,11,2,70213,5,Machine Learning,Certified
284,51,Female,Sales,2,1,58111,5,C++,Certified
285,54,Female,Operations,14,4,34284,5,Data Analysis,Not Certified
286,49,Male,Sales,3,3,121029,1,Java,Certified
287,54,Male,Marketing,11,1,47585,4,Python,Not Certified
288,26,Male,Sales,6,4,95039,5,C++,Certified
289,40,Female,IT,7,5,125131,3,SQL,Not Certified
290,25,Male,Sales,6,2,37131,2,C++,Certified
291,56,Male,Finance,5,4,73382,2,SQL,Not Certified
292,38,Male,Sales,8,5,121733,2,Machine Learning,Certified
293,49,Male,Marketing,8,1,63527,1,Python,Not Certified
294,51,Female,Sales,10,1,117493,3,C++,Certified
295,50,Male,IT,12,5,60936,3,C++,Certified
296,27,Female,Operations,6,5,117081,3,Python,Not Certified
297,56,Female,Sales,7,2,83441,3,C++,Certified
298,58,Female,Sales,5,1,84598,3,SQL,Certified
299,45,Male,Finance,0,5,109220,4,C++,Certified
300,50,Female,IT,0,3,137984,3,Java,Certified
301,52,Male,Operations,5,3,50642,3,Machine Learning,Certified
302,56,Male,Marketing,1,5,99907,1,Data Analysis,Not Certified
303,54,Male,Sales,13,2,42651,1,SQL,Not Certified
304,42,Female,Operations,7,1,31665,3,Java,Certified
305,53,Male,Marketing,0,3,36918,4,Machine Learning,Not Certified
306,44,Male,IT,12,5,53007,3,Python,Certified
307,54,Male,IT,1,5,126944,3,SQL,Not Certified
308,24,Female,Operations,7,4,105730,3,Data Analysis,Certified
309,39,Female,Marketing,11,5,55035,5,Machine Learning,Certified
310,46,Female,IT,5,2,119352,4,Data Analysis,Certified
311,52,Male,Operations,11,3,118602,2,Python,Certified
312,24,Female,IT,9,4,106749,3,Python,Not Certified
313,61,Male,IT,1,3,144049,2,SQL,Not Certified
314,45,Male,IT,1,3,118148,4,C++,Not Certified
315,53,Female,Finance,10,2,52211,3,Python,Certified
316,43,Male,Marketing,13,5,84587,2,Machine Learning,Not Certified
317,44,Female,Operations,6,2,56866,2,C++,Not Certified
318,23,Male,Operations,4,5,135940,4,Java,Certified
319,48,Female,Marketing,4,4,127135,3,Data Analysis,Certified
320,23,Male,Marketing,7,2,146053,5,C++,Certified
321,47,Male,Marketing,11,2,37344,4,Data Analysis,Not Certified
322,38,Male,Marketing,11,1,98737,5,C++,Not Certified
323,61,Male,Sales,6,2,100288,3,Java,Certified
324,54,Male,Operations,11,1,92546,2,Python,Not Certified
325,30,Female,Sales,13,5,137879,4,Java,Certified
326,60,Male,IT,8,5,40327,4,Python,Not Certified
327,50,Female,IT,3,5,78659,4,Python,Certified
328,47,Female,Operations,9,1,75797,1,Data Analysis,Not Certified
329,56,Female,IT,3,5,101627,3,Machine Learning,Not Certified
330,46,Male,Marketing,1,3,57608,1,Java,Not Certified
331,45,Male,Sales,2,2,58285,4,C++,Certified
332,34,Male,Marketing,0,1,118534,4,Java,Certified
333,28,Female,IT,0,5,146209,5,Data Analysis,Certified
334,57,Male,Sales,6,3,78634,1,Python,Not Certified
335,41,Male,Marketing,13,2,70289,2,Data Analysis,Certified
336,22,Female,Operations,13,2,118479,3,SQL,Not Certified
337,29,Female,Marketing,4,5,143714,2,SQL,Certified
338,37,Female,IT,2,3,48007,2,C++,Certified
339,35,Female,Sales,6,1,55257,3,Data Analysis,Not Certified
340,33,Female,Operations,13,5,115054,4,C++,Not Certified
341,44,Female,Sales,1,2,59784,5,C++,Certified
342,36,Male,Operations,2,2,68588,4,SQL,Certified
343,49,Female,Sales,0,2,74221,4,C++,Not Certified
344,55,Male,IT,7,5,51378,1,SQL,Not Certified
345,23,Male,Operations,1,4,34696,2,Python,Certified
346,53,Male,Finance,14,4,123531,2,Data Analysis,Not Certified
347,44,Female,Sales,6,4,64635,2,C++,Certified
348,43,Male,Sales,10,3,88543,5,SQL,Certified
349,46,Female,Marketing,8,5,111259,5,Java,Certified
350,43,Female,Operations,5,2,49207,5,C++,Not Certified
351,43,Male,Finance,1,3,57524,3,Machine Learning,Certified
352,27,Female,IT,1,4,58554,5,Python,Certified
353,36,Male,Marketing,8,1,41817,1,Python,Not Certified
354,58,Male,Finance,9,3,85258,1,Java,Not Certified
355,54,Female,Operations,7,3,92582,4,SQL,Not Certified
356,29,Male,Finance,13,5,30168,4,C++,Certified
357,26,Male,Sales,13,3,72981,4,SQL,Not Certified
358,60,Male,Sales,13,5,122306,4,Python,Not Certified
359,25,Female,Marketing,8,1,95199,1,SQL,Certified
360,27,Male,Operations,3,2,94948,4,Python,Certified
361,53,Female,Operations,3,2,87782,1,SQL,Certified
362,51,Female,Finance,14,4,110759,5,Java,Certified
363,56,Male,Marketing,14,4,139756,5,Data Analysis,Not Certified
364,61,Male,Operations,1,1,91599,3,Java,Certified
365,37,Female,Sales,13,2,149597,4,Java,Not Certified
366,34,Female,Finance,9,4,103563,5,Data Analysis,Certified
367,51,Male,IT,0,3,46291,5,Data Analysis,Certified
368,40,Male,Sales,9,5,138945,2,C++,Not Certified
369,38,Female,Marketing,12,4,83833,2,C++,Not Certified
370,40,Female,Operations,3,1,120975,1,Java,Not Certified
371,49,Female,Sales,9,2,117057,3,Java,Certified
372,47,Female,IT,9,1,120251,2,Python,Certified
373,58,Female,IT,10,5,117154,3,Python,Not Certified
374,47,Male,Marketing,7,5,124535,5,C++,Not Certified
375,44,Female,Sales,1,1,62992,1,Machine Learning,Certified
376,30,Female,Finance,12,4,137053,3,Machine Learning,Not Certified
377,33,Male,Sales,11,4,69350,2,C++,Not Certified
378,22,Male,IT,10,2,31573,5,Python,Certified
379,22,Female,Marketing,7,2,38577,4,Python,Not Certified
380,55,Female,Marketing,0,3,38712,5,Machine Learning,Certified
381,53,Male,Finance,14,3,59948,2,SQL,Certified
382,46,Female,Marketing,0,2,135067,2,SQL,Certified
383,61,Female,Marketing,3,3,107700,4,Python,Not Certified
384,22,Male,Marketing,6,1,35217,5,SQL,Not Certified
385,37,Female,Marketing,8,4,90178,3,Data Analysis,Not Certified
386,60,Male,Marketing,4,3,115062,3,C++,Not Certified
387,26,Male,IT,1,3,126806,5,C++,Certified
388,43,Male,Sales,11,1,56409,3,Python,Certified
389,50,Male,Operations,6,5,79040,5,Java,Not Certified
390,24,Female,Marketing,10,2,108270,5,Machine Learning,Not Certified
391,33,Male,Operations,1,1,139657,2,Python,Not Certified
392,47,Female,Operations,8,5,131805,1,SQL,Not Certified
393,37,Female,IT,8,1,109066,2,Machine Learning,Certified
394,58,Female,Marketing,2,4,107930,3,Java,Not Certified
395,43,Female,Operations,12,1,97035,1,SQL,Certified
396,50,Female,Marketing,7,1,123075,5,Data Analysis,Not Certified
397,35,Male,Finance,10,4,39669,3,SQL,Not Certified
398,49,Male,Finance,3,2,88247,4,Data Analysis,Not Certified
399,26,Male,Finance,2,5,88975,3,Machine Learning,Certified
400,51,Male,Operations,0,3,58562,1,Data Analysis,Not Certified
401,26,Female,Finance,4,2,51629,1,Machine Learning,Certified
402,33,Male,IT,12,1,121282,5,Machine Learning,Certified
403,37,Female,IT,13,3,138823,4,Machine Learning,Not Certified
404,47,Female,Operations,10,4,91463,5,Machine Learning,Certified
405,47,Male,Marketing,3,2,76007,4,Machine Learning,Certified
406,42,Male,Sales,0,5,48128,4,SQL,Certified
407,60,Male,Marketing,9,2,32039,5,Machine Learning,Not Certified
408,57,Male,Marketing,7,2,136615,3,SQL,Certified
409,54,Female,Marketing,7,3,33857,2,Machine Learning,Certified
410,51,Female,Marketing,12,4,89019,4,Data Analysis,Not Certified
411,58,Male,Sales,7,4,121432,1,Machine Learning,Not Certified
412,44,Female,Finance,2,2,100486,5,Java,Certified
413,31,Female,Marketing,5,4,119007,3,Machine Learning,Certified
414,26,Female,IT,11,3,110977,4,Machine Learning,Certified
415,57,Male,Operations,11,3,42735,3,Data Analysis,Certified
416,55,Female,Operations,6,5,117951,5,C++,Not Certified
417,52,Male,IT,8,4,64511,1,Data Analysis,Not Certified
418,31,Male,Marketing,4,5,76051,4,Java,Certified
419,40,Female,Sales,8,1,82693,4,C++,Not Certified
420,53,Female,Finance,5,3,137942,3,Python,Certified
421,22,Male,Operations,9,2,99152,5,Python,Not Certified
422,26,Female,Finance,9,3,110919,2,Java,Not Certified
423,25,Female,Sales,9,1,59756,4,Data Analysis,Certified
424,37,Male,Operations,3,2,33894,1,SQL,Certified
425,45,Male,Finance,12,4,146412,4,Java,Certified
426,37,Male,Sales,0,4,134531,4,C++,Certified
427,23,Male,Finance,0,3,73232,2,C++,Not Certified
428,49,Female,Marketing,13,2,83214,2,Machine Learning,Not Certified
429,53,Female,Sales,9,2,136151,5,Python,Certified
430,48,Male,Finance,4,5,99817,4,C++,Not Certified
431,41,Male,Marketing,12,1,93862,4,Java,Not Certified
432,45,Male,Marketing,13,4,120183,3,C++,Certified
433,33,Female,Sales,2,3,60036,3,Java,Certified
434,56,Male,IT,4,2,48584,1,SQL,Not Certified
435,54,Female,Operations,4,4,130447,1,Machine Learning,Certified
436,54,Male,Sales,0,3,62308,3,Python,Certified
437,58,Male,Marketing,13,4,143084,1,C++,Not Certified
438,33,Male,Marketing,7,3,58333,4,Java,Not Certified
439,24,Female,Sales,4,4,65949,2,Data Analysis,Certified
440,22,Female,IT,4,5,114795,4,Python,Not Certified
441,54,Female,Operations,8,1,127330,3,SQL,Certified
442,61,Male,Finance,7,4,69288,5,Java,Certified
443,31,Female,Sales,12,1,108588,5,Machine Learning,Not Certified
444,50,Female,Operations,0,4,107807,3,Machine Learning,Not Certified
445,34,Male,Operations,2,2,145784,4,SQL,Certified
446,33,Male,Marketing,11,5,75267,1,SQL,Certified
447,52,Female,Finance,6,5,62175,1,Machine Learning,Certified
448,23,Female,Sales,0,1,38915,5,C++,Not Certified
449,56,Female,Marketing,0,2,111658,3,C++,Certified
450,44,Female,Marketing,4,3,139735,3,Java,Not Certified
451,38,Male,IT,8,5,102454,2,Data Analysis,Certified
452,47,Male,Operations,5,2,89722,5,Java,Not Certified
453,29,Male,Sales,9,2,136452,3,Data Analysis,Certified
454,50,Female,Sales,1,1,125973,2,SQL,Not Certified
455,47,Female,Sales,10,2,141342,1,Python,Certified
456,31,Male,Marketing,8,2,95298,5,Java,Certified
457,47,Male,IT,5,3,43805,5,Java,Certified
458,55,Female,Finance,4,1,115134,3,Data Analysis,Certified
459,28,Female,Marketing,4,1,70517,3,SQL,Not Certified
460,25,Male,Finance,14,2,84716,4,SQL,Not Certified
461,32,Male,IT,11,3,32871,1,Data Analysis,Not Certified
462,50,Male,Operations,2,4,132793,1,SQL,Not Certified
463,57,Female,Sales,13,5,67375,2,Machine Learning,Not Certified
464,46,Female,Finance,5,1,75741,2,C++,Certified
465,42,Female,Marketing,14,3,140415,4,Machine Learning,Not Certified
466,57,Female,Finance,14,3,53148,1,Python,Not Certified
467,31,Female,Operations,12,2,35834,2,Java,Not Certified
468,58,Female,Sales,3,5,72680,1,Python,Not Certified
469,30,Male,Finance,12,1,33399,1,Java,Certified
